Districts,id,cases,Population,Ratio
Dinajpur,Dinajpur-13,675,3268000,0.000206548
Faridpur,Faridpur-1,3593,2088000,0.001720785
Faridpur,Faridpur-2,3593,2088000,0.001720785
Faridpur,Faridpur-3,3593,2088000,0.001720785
Faridpur,Faridpur-4,3593,2088000,0.001720785
Faridpur,Faridpur-5,3593,2088000,0.001720785
Faridpur,Faridpur-6,3593,2088000,0.001720785
Faridpur,Faridpur-7,3593,2088000,0.001720785
Faridpur,Faridpur-8,3593,2088000,0.001720785
Feni,Feni-1,1029,1619000,0.000635578
Feni,Feni-2,1029,1619000,0.000635578
Feni,Feni-3,1029,1619000,0.000635578
Feni,Feni-4,1029,1619000,0.000635578
Feni,Feni-5,1029,1619000,0.000635578
Gaibandha,Gaibandha-1,288,2718000,0.00010596
Gaibandha,Gaibandha-2,288,2718000,0.00010596
Gaibandha,Gaibandha-3,288,2718000,0.00010596
Gaibandha,Gaibandha-4,288,2718000,0.00010596
Gaibandha,Gaibandha-5,288,2718000,0.00010596
Gaibandha,Gaibandha-6,288,2718000,0.00010596
Gaibandha,Gaibandha-7,288,2718000,0.00010596
Gazipur,Gazipur-1,4039,3809000,0.001060383
Gazipur,Gazipur-2,4039,3809000,0.001060383
Gazipur,Gazipur-3,4039,3809000,0.001060383
Gazipur,Gazipur-4,4039,3809000,0.001060383
Gazipur,Gazipur-5,4039,3809000,0.001060383
Gopalganj,Gopalganj-1,1158,1277000,0.000906813
Gopalganj,Gopalganj-2,1158,1277000,0.000906813
Gopalganj,Gopalganj-3,1158,1277000,0.000906813
Gopalganj,Gopalganj-4,1158,1277000,0.000906813
Gopalganj,Gopalganj-5,1158,1277000,0.000906813
Habiganj,Habiganj-1,1055,2386000,0.000442163
Habiganj,Habiganj-2,1055,2386000,0.000442163
Habiganj,Habiganj-3,1055,2386000,0.000442163
Habiganj,Habiganj-4,1055,2386000,0.000442163
Habiganj,Habiganj-5,1055,2386000,0.000442163
Habiganj,Habiganj-6,1055,2386000,0.000442163
Habiganj,Habiganj-7,1055,2386000,0.000442163
Habiganj,Habiganj-8,1055,2386000,0.000442163
Jamalpur,Jamalpur-1,768,998000,0.000769539
Jamalpur,Jamalpur-2,768,998000,0.000769539
Jamalpur,Jamalpur-3,768,998000,0.000769539
Jamalpur,Jamalpur-4,768,998000,0.000769539
Jamalpur,Jamalpur-5,768,998000,0.000769539
Jamalpur,Jamalpur-6,768,998000,0.000769539
Jamalpur,Jamalpur-7,768,998000,0.000769539
Jessore,Jessore-1,1426,2541000,0.000561196
Jessore,Jessore-2,1426,2541000,0.000561196
Jessore,Jessore-3,1426,2541000,0.000561196
Jessore,Jessore-4,1426,2541000,0.000561196
Jessore,Jessore-5,1426,2541000,0.000561196
Jessore,Jessore-6,1426,2541000,0.000561196
Jessore,Jessore-7,1426,2541000,0.000561196
Jessore,Jessore-8,1426,2541000,0.000561196
Jhalokati,Jhalokati-1,242,3029000,7.99E-05
Jhalokati,Jhalokati-2,242,3029000,7.99E-05
Jhalokati,Jhalokati-3,242,3029000,7.99E-05
Jhalokati,Jhalokati-4,242,3029000,7.99E-05
Jhenaidah,Jhenaidah-1,664,741000,0.000896086
Jhenaidah,Jhenaidah-2,664,741000,0.000896086
Jhenaidah,Jhenaidah-3,664,741000,0.000896086
Jhenaidah,Jhenaidah-4,664,741000,0.000896086
Jhenaidah,Jhenaidah-5,664,741000,0.000896086
Jhenaidah,Jhenaidah-6,664,741000,0.000896086
Joypurhat,Joypurhat-1,656,1976000,0.000331984
Joypurhat,Joypurhat-2,656,1976000,0.000331984
Joypurhat,Joypurhat-3,656,1976000,0.000331984
Joypurhat,Joypurhat-4,656,1976000,0.000331984
Joypurhat,Joypurhat-5,656,1976000,0.000331984
Khagrachhari,Khagrachhari-1,414,685000,0.00060438
Khagrachhari,Khagrachhari-2,414,685000,0.00060438
Khagrachhari,Khagrachhari-3,414,685000,0.00060438
Khagrachhari,Khagrachhari-4,414,685000,0.00060438
Khagrachhari,Khagrachhari-5,414,685000,0.00060438
Khagrachhari,Khagrachhari-6,414,685000,0.00060438
Khagrachhari,Khagrachhari-7,414,685000,0.00060438
Khagrachhari,Khagrachhari-8,414,685000,0.00060438
Khulna,Khulna-1,3737,2528000,0.001478244
Khulna,Khulna-2,3737,2528000,0.001478244
Khulna,Khulna-3,3737,2528000,0.001478244
Khulna,Khulna-4,3737,2528000,0.001478244
Khulna,Khulna-5,3737,2528000,0.001478244
Khulna,Khulna-6,3737,2528000,0.001478244
Khulna,Khulna-7,3737,2528000,0.001478244
Khulna,Khulna-8,3737,2528000,0.001478244
Khulna,Khulna-9,3737,2528000,0.001478244
Khulna,Khulna-10,3737,2528000,0.001478244
Kishoreganj,Kishoreganj-1,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-2,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-3,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-4,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-5,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-6,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-7,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-8,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-9,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-10,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-11,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-12,1879,3311000,0.000567502
Kishoreganj,Kishoreganj-13,1879,3311000,0.000567502
Kurigram,Kurigram-1,149,2301000,6.48E-05
Kurigram,Kurigram-2,149,2301000,6.48E-05
